vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
ER	1	FIRST	488.2	1501.7	1556.3	159.6	169.7	463.4	135.536	135.496	135.617	0.121	94	3	4	1	1	3			512.2	1429.6	486.4	1508.8	469.6	1574.2	454.0	1612.1	421.0	1705.5	5	466	1338	1555	94.60013	1	first	135.5365
AA	1	JOB	818.9	1642.9	2448.9	88.9	175.2	328.6	135.884	135.827	135.997	0.17	5	1	1	2	5	0			775.8	1645.5	825.4	1644.1	883.9	1652.4	841.9	1667.2	737.7	1657.5	5	883	1649	2494	5.1125	1	job	135.9033
AA	1	GOT	752.0	1848.9	2492.5	110.4	394.1	235.0	136.41	136.377	136.477	0.1	5	1	4	1	6	0			701.8	1847.9	757.1	1835.4	770.4	1785.2	749.4	1754.5	666.4	1708.3	5	780	1788	2466	5.1416	1	got	136.4266
AO	1	OFFICE	846.2	1503.0	3164.3	133.1	184.5	448.3	138.348	138.312	138.421	0.109	53	3	2	1	0	1			778.4	1526.3	853.6	1495.8	891.3	1453.2	863.7	1424.4	864.2	1377.5	4	936	1490	3083	53.32101	1	office	138.3628
EH	1	SECRETARY	772.6	1688.9	2694.3	107.4	141.2	420.4	139.112	139.092	139.152	0.06	2	1	6	1	3	2			752.2	1679.1	774.4	1690.1	782.8	1694.2	780.2	1696.6	760.3	1722.7	4	783	1695	2563	2.16135	1	secretary	139.1178
AY	1	TYPING	811.6	1556.9	2330.6	124.9	198.2	1123.1	140.245	140.231	140.352	0.121	47	1	1	1	3	1			785.6	1608.9	712.9	1797.2	567.7	2157.6	454.9	1688.2	410.1	1268.1	5	785	1610	2349	47.1113	1	typing	140.2553
OW	1	KNOW	783.2	1391.8	2352.8	140.9	196.7	242.1	142.351	142.34	142.461	0.121	63	0	0	0	4	0			797.9	1280.3	771.6	1164.3	639.9	1128.4	327.8	1131.2	335.4	1256.0	6	711	1146	2471	62.0004	1	know	142.373
IY	1	KEYBOARD	445.3	2683.2	3765.7	356.3	181.9	1502.9	142.637	142.6	142.711	0.111	11	1	1	2	6	1			420.7	2676.0	442.5	2675.9	423.3	2175.2	859.6	2208.0	1063.1	2218.9	4	447	2703	3911	11.11261	1	keyboard	142.629
AO	2	KEYBOARD	589.9	969.8	1814.4	182.2	451.3	200.9	142.817	142.78	142.89	0.11	64	6	4	2	1	3			596.6	1065.8	584.6	955.7	539.6	926.8	525.5	988.2	543.5	1077.4	6	554	899	1821	64.6001	1	(key)board	142.8264
AA	1	GOD	781.8	1898.4	2357.6	107.1	462.0	481.7	146.817	146.774	146.903	0.129	5	1	4	2	6	0			732.2	1975.8	788.5	1884.1	847.7	1777.1	862.9	1743.2	850.2	1742.4	5	864	1754	2470	5.1426	1	god	146.8623
